ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1888596	0.0219934	1.87e-03	-3.4621546	-1.42359	-0.14155849	7276857		
ILMN_1726460	0.0219934	1.87e-03	-3.4621117	-1.423691	-0.44661883	386869338	RPL14	ribosomal protein L14
ILMN_1870967	0.0220117	1.87e-03	3.461688	-1.424689	0.16625038	NA		
ILMN_2395055	0.0220171	1.87e-03	3.461451	-1.425247	0.33491246	344179097	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1
ILMN_1916931	0.0220171	1.88e-03	-3.4613399	-1.425509	-0.16672069	27825367		
ILMN_1821915	0.0220171	1.88e-03	3.4613069	-1.425587	0.16128764	18993602		
ILMN_1892447	0.0220583	1.88e-03	-3.4604732	-1.42755	-0.10471691	NA		
ILMN_1743187	0.0220643	1.88e-03	-3.4602694	-1.428029	-0.16924715	955471915	C6orf120	chromosome 6 open reading frame 120
ILMN_1880402	0.0220775	1.88e-03	-3.4599386	-1.428808	-0.14342221	3128395		
ILMN_1799471	0.0220813	1.88e-03	-3.4597569	-1.429236	-0.15957998	66932981	FBLIM1	filamin binding LIM protein 1
ILMN_1665660	0.0220813	1.88e-03	-3.4596807	-1.429415	-0.15727137	NA		
ILMN_1812701	0.0220845	1.88e-03	-3.4594603	-1.429935	-0.32471157	153251888	C4orf33	chromosome 4 open reading frame 33
ILMN_1793508	0.0220845	1.88e-03	-3.4593842	-1.430114	-0.37140061	540344519	YAE1D1	Yae1 domain containing 1
ILMN_1708710	0.0220845	1.88e-03	-3.4593398	-1.430218	-0.13022933	148231467	GFRAL	GDNF family receptor alpha like
ILMN_1769556	0.0220944	1.89e-03	-3.4590672	-1.43086	-0.50750623	NA		
ILMN_1771824	0.022096	1.89e-03	3.4587924	-1.431507	0.37544148	22538496	DNAJC30	DnaJ heat shock protein family (Hsp40) member C30
ILMN_1667840	0.022096	1.89e-03	3.4587911	-1.43151	0.22555107	313569851	CMTM3	CKLF like MARVEL transmembrane domain containing 3
ILMN_1776375	0.022096	1.89e-03	-3.4586708	-1.431793	-0.20551962	336285452	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1
ILMN_1691376	0.022096	1.89e-03	-3.458659	-1.431821	-0.4930609	168480146	JAG1	jagged 1
