gene,logFC,p_value,adj_p_value
SNHG1///SNORD27,-0.9823659,1.5e-08,6.01e-08
KRT8,-0.56061261,1.39e-08,6.01e-08
TNFSF13B,-0.58735511,1.4e-08,6.03e-08
PCDHGA1///PCDHGA2///PCDHGA3///PCDHGA4///PCDHGA5///PCDHGA6///PCDHGA7///PCDHGA9///PCDHGA10///PCDHGA11///PCDHGB1///PCDHGB2///PCDHGB3///PCDHGB5///PCDHGB6///PCDHGB7///PCDHGC4///PCDHGC5///PCDHGA12///PCDHGA8///PCDHGB4///PCDHGC3,0.4743964,1.5e-08,6.04e-08
HADH,-0.6625373,1.52e-08,6.09e-08
TVP23C,-0.40047212,1.42e-08,6.1e-08
FKBP1A-SDCBP2///SDCBP2,0.41957,1.52e-08,6.11e-08
TMEM219,0.5142659,1.53e-08,6.13e-08
SEMA4C,0.7360959,1.53e-08,6.13e-08
AQP3,-0.50780094,1.43e-08,6.14e-08
BTD,0.4816118,1.53e-08,6.15e-08
UBE2T,-0.32781587,1.43e-08,6.15e-08
EFTUD2,0.28066751,1.43e-08,6.17e-08
SOX15,0.5022845,1.54e-08,6.17e-08
POLD1,0.5815541,1.54e-08,6.19e-08
NPC1L1,0.5209555,1.54e-08,6.2e-08
NFKBIE,-1.2077475,4.71e-10,6.21e-08
LRRC15,-0.37855025,1.44e-08,6.21e-08
PPP2R1A,0.6776795,1.55e-08,6.22e-08
TNP2,0.6650782,1.56e-08,6.27e-08
NOXA1,0.5151923,1.56e-08,6.27e-08
FEM1C,-0.6732727,1.56e-08,6.27e-08
NMRAL1P1,0.25723273,1.46e-08,6.28e-08
PLEKHM1,0.31188376,1.46e-08,6.29e-08
EXO1,-0.6826732,1.57e-08,6.3e-08
PHLDB3,-0.9294675,4.89e-10,6.34e-08
HIST2H2AC,0.9887291,1.59e-08,6.36e-08
MAF1,0.5964714,1.59e-08,6.37e-08
KLK13,-0.29795397,1.49e-08,6.39e-08
OLFM1,0.5280173,1.6e-08,6.4e-08
PDXP,0.5248736,1.61e-08,6.45e-08
LINC00982,0.5574068,1.62e-08,6.47e-08
RBM15,-0.4436641,1.62e-08,6.49e-08
GADL1,-0.37570398,1.52e-08,6.51e-08
ZNF614,-0.8132923,1.63e-08,6.53e-08
NHLRC2///NHLRC2,-0.7024809,1.64e-08,6.57e-08
HINFP,0.5416191,1.64e-08,6.57e-08
MYL4,0.657675,1.65e-08,6.58e-08
TSPAN5,-0.31569347,1.54e-08,6.6e-08
EXTL3,-0.4846136,1.65e-08,6.61e-08
IL13,0.75282,1.66e-08,6.62e-08
NKX2-6,0.5013295,1.66e-08,6.63e-08
ZMYM4,-0.5545036,1.66e-08,6.65e-08
FAM136A,-0.4273877,1.68e-08,6.71e-08
MRPL52,0.5012941,1.69e-08,6.75e-08
LILRA4,0.5179814,1.69e-08,6.75e-08
CHST14,0.5257468,1.69e-08,6.75e-08
TOMM34,-0.29945692,1.58e-08,6.76e-08
DDX17,-0.49265,1.7e-08,6.76e-08
FAM84A,0.57316,1.72e-08,6.86e-08
KANSL1,0.3862673,1.72e-08,6.86e-08
LOC400499,0.2969303,1.61e-08,6.88e-08
RDH11,-0.5892741,1.73e-08,6.9e-08
CLCN5,0.29910557,1.61e-08,6.91e-08
SCN2B,-0.29616488,1.61e-08,6.91e-08
MYH7B,0.4830505,1.74e-08,6.92e-08
PCSK7,0.4532086,1.75e-08,6.95e-08
INSM1,0.5200259,1.75e-08,6.98e-08
COCH,-0.26085177,1.63e-08,6.99e-08
MLLT3,-0.36024087,1.64e-08,7.02e-08
BTG4,-0.35467121,1.65e-08,7.04e-08
BUB1B,-0.31189649,1.65e-08,7.04e-08
SNORD117,0.6057427,1.77e-08,7.06e-08
