gene,organ,instrument_source,n_instruments,IVW_beta,IVW_p,IVW_p_adj,Egger_p,Cochran_Q_p,F_statistic,verdict,IVW_p_adj_50gene
SERPINF2,Lung,eQTLGen,1,0.0608685034517524,0.612042148807838,0.9430263539445146,,,1785.83998464,Not Significant (IVW p>=0.05),0.883200062836627
SERPINF2,Skin,eQTLGen,1,0.383829509571853,0.0736087844091715,0.6238504406278189,,,1785.83998464,Not Significant (IVW p>=0.05),0.49361184839091476
SERPINH1,Kidney,eQTLGen,1,0.0593825292906955,0.463355149269596,0.9177578274973504,,,1071.65224321,Not Significant (IVW p>=0.05),0.8196188676954851
SERPINH1,Liver,eQTLGen,1,-0.084182293046016,0.471766537338698,0.9177578274973504,,,1071.65224321,Not Significant (IVW p>=0.05),0.8196188676954851
SERPINH1,Lung,eQTLGen,1,0.102632444896635,0.535739596887416,0.9281919674912172,,,1071.65224321,Not Significant (IVW p>=0.05),0.8324434679668369
SERPINH1,Skin,eQTLGen,1,0.171627386155968,0.560920409166701,0.9407562767913964,,,1071.65224321,Not Significant (IVW p>=0.05),0.8525990219333855
SFRP4,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
SFRP4,Liver,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
SFRP4,Lung,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
SFRP4,Skin,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
SPARCL1,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
SPARCL1,Liver,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
SPARCL1,Lung,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
SPARCL1,Skin,GTEx,1,-0.096757070581405,0.7865720334485852,0.980273981533108,,,67.85210880686802,Not Significant (IVW p>=0.05),0.9814731351245495
SPP1,Kidney,eQTLGen,1,0.0964451353273689,0.0682232466455102,0.6238504406278189,,,3230.03535556,Not Significant (IVW p>=0.05),0.49361184839091476
SPP1,Liver,eQTLGen,1,0.0111517643298998,0.873004514746868,0.983344746747594,,,3230.03535556,Not Significant (IVW p>=0.05),0.9814731351245495
SPP1,Lung,eQTLGen,1,0.0666404773778142,0.499811774599496,0.9177578274973504,,,3230.03535556,Not Significant (IVW p>=0.05),0.8324434679668369
