gene,tissue,logFC,adj_p_value
CCDC180///LOC100499484-C9ORF174,Lungs,-0.97248883,0.0427
CCDC74A,Lungs,1.5537459,0.0259
CCDC74B///CCDC74A,Lungs,-0.74077241,2.21e-11
CCDC85A,Lungs,0.74411076,5.6799999999999995e-25
CCDC93,Lungs,-0.9079614,2.13e-09
CCEPR,Lungs,-0.6210875,0.00757
CCHCR1,Lungs,-0.60543065,0.00372
CCK,Lungs,1.5697175,4.71e-09
CCL11,Lungs,3.4295847,2.88e-10
CCL11///CCL11,Lungs,-0.59692116,4.97e-10
CCL15-CCL14,Lungs,1.244993,0.0126
CCL15-CCL14///CCL15///CCL14,Lungs,0.7085423,0.00268
CCL2///CCL2,Lungs,2.1791973,1.78e-08
CCL26,Lungs,0.8770625,7.08e-07
CCL4L1///CCL4L2///CCL4///CCL4L1,Lungs,1.2228523,1.32e-09
CCNH,Lungs,-0.7688995,1.65e-05
CCNJL,Lungs,0.7843091,1.12e-11
CCNO,Lungs,2.0604433,0.00176
CCP110,Lungs,-2.0198523,5.95e-13
CCRL2///CCRL2,Lungs,1.0688305,3.4e-09
CCT6B,Lungs,-0.7050841,4.51e-10
CCT6P1,Lungs,0.7011649,0.00113
CCT6P3,Lungs,0.668764,0.00188
CCZ1P-OR7E38P,Lungs,0.8005817,0.000186
CD8B///CD8B,Lungs,0.7358127,1.18e-05
CD96,Lungs,-1.131325,9.44e-05
CDADC1,Lungs,-1.092175,9.57e-14
CDC26///FKBP15,Lungs,-0.8534832,2.56e-12
CDCA3,Lungs,1.5151311,1.02e-06
CDH13-AS1,Lungs,-1.368613,6.9e-05
CDIN1,Lungs,0.8942932,0.00039
CDK19,Lungs,-0.6703364,2.85e-09
CDK4,Lungs,1.1945559,2.77e-11
CDK8///ADRA1B,Lungs,-0.8935964,8.76e-13
CDR2,Lungs,-0.5890864,1.17e-07
CDRT3,Lungs,0.7539037,0.0339
CDRT4,Lungs,0.9141323,0.000655
CEBPA-DT,Lungs,-0.9874774,0.0174
CEBPB-AS1,Lungs,-1.6732429,3.58e-12
CECR2,Lungs,0.69515711,1.04e-16
CELF2-AS2,Lungs,-0.8323364,0.0283
CENPJ,Lungs,-1.576945,2.01e-13
CEP126,Lungs,-1.43049982,5.1399999999999997e-23
CEP170B,Lungs,0.6809382,1.43e-13
CEP250,Lungs,-0.6555705,2.02e-11
CEP290,Lungs,-2.3399014,3.56e-19
CEP43,Lungs,1.0763008,2.34e-06
CEP83,Lungs,-0.59061479,1.22e-12
CES1P2,Lungs,-1.6424472,0.00196
CFAP251,Lungs,1.8447068,0.0226
CFAP300,Lungs,1.5410609,0.0109
CFAP44-AS1,Lungs,1.3059728,0.0118
CFAP52,Lungs,-1.45765267,7.4e-14
CFAP73,Lungs,-0.61738437,1.79e-09
CFAP74,Lungs,-0.70329547,5.88e-09
CHCHD10,Lungs,1.0378827,8.85e-14
CHCHD2,Lungs,-0.7155851,0.00794
CHD1L,Lungs,-0.8925541,6.75e-09
CHD9,Lungs,-1.5430082,4.33e-15
CHD9NB,Lungs,1.9986598,0.0223
CHIC2,Lungs,0.69603236,0.0227
CHIC2///CHIC2,Lungs,1.5464659,2.17e-15
CHKB-CPT1B,Lungs,0.6094989,0.0159
CHKB-CPT1B///CPT1B,Lungs,-0.74076297,0.002
CHKB-CPT1B///CPT1B///CHKB,Lungs,0.7033059,1.76e-10
CHMP2A,Lungs,0.8020041,2.04e-10
CHMP6,Lungs,0.7486964,1.03e-09
CHRM1,Lungs,-4.049294,3.61e-10
CHRNA7,Lungs,1.0288093,0.00431
CHURC1-FNTB///CHURC1,Lungs,-0.8385073,2.73e-11
CHURC1-FNTB///FNTB,Lungs,0.8256136,9.61e-12
CIBAR1,Lungs,0.6506143,0.0022
CIITA,Lungs,0.7627364,1.13e-11
CKMT1A,Lungs,1.7993247,0.00305
CKMT1A///CKMT1B///CKMT1A///CKMT1B,Lungs,-0.93143809,7.92e-12
CLASP1-AS1,Lungs,0.9880837,0.000334
CLBA1,Lungs,0.821493,0.0288
CLCC1,Lungs,-0.8974645,3.8e-12
CLDN2,Lungs,-0.63579055,3.22e-14
CLDN34,Lungs,0.8145705,8.05e-07
CLDN7,Lungs,1.6463327,4.53e-13
CLEC4D,Lungs,1.00555069,1.16e-16
CLHC1,Lungs,-1.7923541,3.36e-11
CLIP4,Lungs,-1.5803136,2.54e-15
CLK4///CLK4,Lungs,-1.6430659,4.17e-17
CLMP,Lungs,-1.2159259,8.56e-12
CLOCK,Lungs,-0.8359564,9.43e-09
CLPP,Lungs,1.0608182,2.21e-13
CLSPN///CLSPN,Lungs,-1.1960132,2.12e-11
CLTB,Lungs,0.6432886,4.07e-08
CNGA1,Lungs,1.9391975,1.56e-05
CNN3-DT,Lungs,-0.6558585,0.00998
CNOT6,Lungs,-0.9928559,1.28e-14
CNR1,Lungs,0.61412144,3.16e-13
CNRIP1,Lungs,0.7556323,3.02e-11
CNTLN,Lungs,-1.3264518,1.09e-12
CNTN3,Lungs,-1.19739617,2.0400000000000002e-29
CNTNAP3B,Lungs,1.23365,3.92e-06
CNTNAP3B///CNTNAP3P2///CNTNAP3,Lungs,-1.1983955,4.27e-08
CNTNAP3C,Lungs,1.056063,0.000226
CNTNAP3P2,Lungs,1.3508279,1.8e-08
COG1,Lungs,0.7012627,3.61e-12
COL1A2///COL1A2,Lungs,-2.5446464,2.67e-21
COL6A4P2,Lungs,2.188167,1.1e-07
COL6A5,Lungs,-1.0364575,0.00545
COL9A3,Lungs,1.6261753,0.00303
COLCA1,Lungs,-0.59303271,1.24e-11
COLGALT1,Lungs,0.6723795,4.74e-09
COMMD3-BMI1///BMI1///COMMD3-BMI1///BMI1,Lungs,-1.4028273,9.74e-19
COMT,Lungs,0.9667632,4.36e-10
COPS7A,Lungs,0.6822355,2.77e-09
COPS9///COPS9,Lungs,0.7879373,7.18e-10
CORO1B///PTPRCAP,Lungs,0.8696391,6.88e-10
CORO2A,Lungs,-0.80441712,0.00111
CORO7-PAM16///CORO7,Lungs,0.5913718,1.04e-08
COX10-DT,Lungs,0.8990489,3.74e-05
CPSF4,Lungs,0.8844459,1.06e-11
CPSF4L,Lungs,0.7746932,4.38e-07
CR1L///CR1,Lungs,0.66396753,0.00934
CRACR2A,Lungs,-0.6931282,7.84e-09
CREB3,Lungs,1.1277568,5.92e-15
CREB3L2-AS1,Lungs,0.7295174,0.0367
CROCC2,Lungs,1.8034937,0.0353
CRTC2,Lungs,1.5322155,4.21e-19
CRY2,Lungs,-0.8301236,3.51e-12
CRYM-AS1,Lungs,1.1208586,0.000875
CS,Lungs,0.8325386,8.43e-16
CSNK2A2,Lungs,0.6087336,4.26e-11
CSNK2A3///CSNK2A1,Lungs,-0.5890627,5.79e-10
CSPG4P5,Lungs,1.0580895,1.98e-11
CSPP1,Lungs,-1.1325714,4.73e-09
CSRP1-AS1,Lungs,0.6427963,0.00185
CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3///CT45A8,Lungs,0.7984173,0.00339
CTAGE7P,Lungs,0.8244117,0.0156
CTAGE8,Lungs,-0.6034851,0.0364
CTAGE8///CTAGE4///CTAGE11P///CTAGE9///CTAGE15///CTAGE6,Lungs,-1.3596959,6.59e-11
CTAGE8///CTAGE4///CTAGE11P///CTAGE9///CTAGE15///CTAGE6///CTAGE1///CTAGE5,Lungs,-1.1666836,1.52e-10
CTCFL///SP100///HMGB1,Lungs,-1.6598064,1.4e-20
CTF1,Lungs,0.852795,2.54e-13
CTIF,Lungs,1.0054982,1.14e-13
CTNNBL1,Lungs,-0.6484786,2.52e-09
CTNND2,Lungs,1.1163368,1.39e-15
CTXND1,Lungs,-2.4779212,2.26e-19
CUL1,Lungs,-0.6788341,1.2e-08
CUTC,Lungs,-1.1872559,5.23e-15
CWF19L2,Lungs,-2.0709382,1.85e-18
CXORF40B,Lungs,0.9546018,4.72e-12
CYB5R2,Lungs,1.2480614,9.84e-15
CYP2R1,Lungs,-0.881565,3.02e-09
CYP2U1-AS1,Lungs,-2.4542919,5.71e-06
CYP4F35P,Lungs,1.0349626,0.00437
CYYR1-AS1,Lungs,1.3157312,0.00468
DAG1,Lungs,1.1026195,1.64e-16
DAP,Lungs,0.8928332,2.19e-13
DCAF17,Lungs,0.7398845,1.39e-05
DCP2,Lungs,-0.6338527,2.92e-10
DCTN2,Lungs,0.6328009,1.34e-09
DCTN3,Lungs,0.7461505,1.43e-06
DDTL///LOC391322///DDT,Lungs,1.3508891,3.93e-14
DDX42,Lungs,-1.9706082,1.22e-20
DDX55,Lungs,-1.0801982,4.03e-14
DEDD2,Lungs,1.2074055,2.63e-13
DEFA1B///DEFA3///DEFA1,Lungs,1.97377742,3.2900000000000002e-21
DEFA3,Lungs,3.2576475,1.62e-05
DENND5B,Lungs,-0.9176141,2.16e-06
DGAT1,Lungs,1.1313009,2.71e-13
DHRS7,Lungs,-0.6553932,1.41e-08
DHRS7B,Lungs,1.0483482,5.55e-14
DHX8,Lungs,-0.6282768,1.78e-06
DIPK1B,Lungs,-1.2332866,4.69e-07
DISP1,Lungs,-1.4952178,6.05e-07
DKFZP564C152,Lungs,0.7496775,0.000276
DKFZP779L1853,Lungs,0.7061423,5.07e-07
DLEU2,Lungs,-0.6280459,4.81e-11
DLEU7-AS1,Lungs,1.7744799,0.00709
DLG3,Lungs,-0.8191377,6.21e-11
DLK2,Lungs,0.8141748,0.0172
DMAC2,Lungs,-0.6029403,0.000137
DMBT1,Lungs,-1.4099339,0.015
DMTN,Lungs,0.9565309,6.1e-12
DMXL1,Lungs,-1.1697809,4.47e-13
DNAAF1,Lungs,-1.77333416,8.57e-13
DNAAF4,Lungs,1.2267669,0.0119
DNAH10,Lungs,-1.72214029,1.85e-13
DNAH17-AS1,Lungs,-1.6742282,0.00119
DNAH9,Lungs,-1.59934893,1.73e-13
DNAI1,Lungs,-1.33538996,5.83e-12
DNAJA2///DNAJA2,Lungs,-1.932,5.91e-22
DNAJC16,Lungs,-0.6612241,8.38e-08
DNAJC2,Lungs,-1.049565,1.54e-11
DNAJC24,Lungs,-0.9281909,2.62e-11
DNAJC25-GNG10///GNG10,Lungs,1.3357577,1.18e-15
DNAJC3-DT,Lungs,0.7399662,0.00397
DNAJC8,Lungs,-0.605875,7.39e-08
DNAJC9-AS1,Lungs,1.8080782,0.00119
DNMT3A,Lungs,-2.5200001,1.86e-06
