gene,tissue,logFC,adj_p_value
COLGALT2,Kidney,-1.2922769,0.00542
COMETT,Kidney,-2.3,0.0134
COMMD1,Kidney,-0.5862077,0.018
COMMD10,Kidney,-0.683015,0.0145
COMMD2,Kidney,0.6989169,0.0127
COMMD4,Kidney,-0.727238,0.00507
COMMD8,Kidney,-1.3079131,8.71e-07
COMT///ARVCF,Kidney,-1.3503126,0.00202
COPS7B,Kidney,0.6849589,0.0224
COPS9,Kidney,-0.680461,0.00547
COQ10B,Kidney,-1.5745844,3.75e-06
COQ2,Kidney,0.6701285,1.98e-05
CORO1B,Kidney,0.6902193,0.0162
COX11,Kidney,-0.8747638,0.000955
COX16,Kidney,-1.1631049,3.81e-06
COX20,Kidney,-0.6023221,0.00529
CPA2,Kidney,1.5945736,0.000631
CPA5,Kidney,1.362881,0.00174
CPAP,Kidney,-0.5976367,0.0102
CPLX1,Kidney,0.7371268,0.00897
CPLX2,Kidney,-1.1887536,1.19e-06
CPLX4,Kidney,-1.5014336,0.000882
CPOX,Kidney,-0.9996513,2.22e-06
CPSF1,Kidney,1.359875,0.00167
CRAMP1,Kidney,0.7645951,0.00948
CRCT1,Kidney,-1.8499042,0.0054
CREBL2,Kidney,-0.6639918,0.00779
CRELD1,Kidney,0.63703084,0.0108
CRH,Kidney,-1.677559,0.011
CRHR1-IT1,Kidney,0.9913958,0.0177
CRIP3,Kidney,1.108825,0.00433
CRIPAK,Kidney,1.4116134,6.01e-06
CRKL,Kidney,-1.1465358,0.00275
CROCCP3,Kidney,3.9521466,6.93e-12
CRYBB2,Kidney,-1.1130599,0.0418
CRYBB3,Kidney,-0.6757288,0.00071661
CRYGS,Kidney,2.1303068,0.00039
CSAG4,Kidney,2.1661838,4.06e-06
CSE1L-AS1,Kidney,4.3094558,6.99e-15
CSF2,Kidney,-1.7678691,0.000664
CSH1,Kidney,-0.6553755,0.01902018
CSN1S2AP,Kidney,-1.3679759,0.00297
CSNK1A1L,Kidney,-0.7129263,0.00299
CSPG4,Kidney,0.59358026,0.000198
CSPG5,Kidney,-1.2992651,0.00947
CST8,Kidney,-1.6882453,0.00138
CST9,Kidney,-0.8984909,0.0457
CSTA,Kidney,1.46259599,7.88e-05
CT47A11,Kidney,-1.1875775,0.0158
CT83,Kidney,-1.2911615,0.00317
CTNS,Kidney,-0.6810752,0.01634951
CTPS1,Kidney,0.71776015,0.000175
CTRB1,Kidney,4.7032628,1.79e-14
CTSV,Kidney,-1.8258622,1.89e-05
CTXN1,Kidney,-0.8714118,9.52e-06
CUZD1,Kidney,2.0930192,3.14e-07
CWC15,Kidney,-0.7702897,0.00171
CWC25,Kidney,0.6124154,0.00266
CXADRP2,Kidney,-1.3384349,0.00258
CXORF21,Kidney,-1.2302696,0.00749
CXORF38,Kidney,-1.1171896,2.27e-05
CXORF51A,Kidney,-1.3809179,0.00264
CXORF58,Kidney,-1.6042614,0.000581
CXXC1,Kidney,0.8628908,0.0189
CYB5R1,Kidney,1.8390868,0.00128
CYHR1,Kidney,0.8633609,0.0163
CYLC1,Kidney,-1.5282882,0.00116
CYLC2,Kidney,-1.3736542,0.00214
CYP11B1,Kidney,-0.829472,0.000428
CYP20A1,Kidney,-0.7927682,0.00204
CYP2U1,Kidney,-0.7945813,0.000151
CYP46A1,Kidney,-1.1923699,0.01554258
