gene,tissue,logFC,adj_p_value
CLEC18B,Liver,-2.771205,0.00012
CLEC4F,Liver,-3.00083,2.34e-05
CLIP3,Liver,-0.788,1.37e-05
CLK2P1,Liver,-2.246877,2.18e-07
CLLU1,Liver,-1.822994,3.25e-08
CLMB,Liver,-0.729475,0.0368
CLMN,Liver,1.273382,9.91e-05
CLPSL1,Liver,-1.141416,0.00659
CLPSL2,Liver,-0.991673,0.0101
CLRN1-AS1,Liver,0.7,0.0463
CLRN2,Liver,-3.756277,1.66e-09
CLTA,Liver,1.884144,5.16e-08
CLUL1,Liver,1.292212,9.57e-08
CMC1,Liver,2.126975,1.12e-05
CMKLR2,Liver,-0.723168,0.0146
CMPK1,Liver,2.822089,3.25e-11
CNDP1,Liver,1.960679,0.000811
CNGB1,Liver,-4.813345,2.58e-09
CNMD,Liver,0.948429,1.01e-05
CNNM2,Liver,1.658601,8.92e-07
CNOT12,Liver,2.851604,6.75e-06
CNPY1,Liver,-0.78272,0.00699
CNPY3,Liver,0.776189,0.000801
CNTD1,Liver,-2.154678,7.09e-08
COA4,Liver,1.501812,2.39e-06
COL18A1,Liver,-0.9890989,1.48e-05
COL18A1-AS1,Liver,-1.2325945,4.69e-05
COL20A1,Liver,-2.150436,0.000327
COL23A1,Liver,1.743492,7.71e-09
COL28A1,Liver,0.907,5.05e-06
COL4A5,Liver,-1.066012,0.001
COL9A1,Liver,0.754303,0.00295
COL9A2,Liver,-1.0314651,7.94e-05
COMMD3,Liver,-1.837966,0.00376
COMMD9,Liver,-1.682915,6.74e-05
COP1,Liver,1.006232,0.000496
COPG1,Liver,1.34385,0.000452
COPG2,Liver,1.018547,0.0123
COPZ1,Liver,1.183178,0.0245
COQ8B,Liver,-0.5866672,0.000565
CORO1A-AS1,Liver,-1.02,4.76e-05
CORO7,Liver,-1.1215977,7.68e-07
CORO7-PAM16,Liver,-0.8113824,2.53e-05
COX10,Liver,-1.489035,0.00426
COX14,Liver,1.168932,0.000981
COX15,Liver,1.238827,0.000852
COX6B2,Liver,-1.659795,1.12e-07
COX6C,Liver,1.481509,0.00114
COX7B,Liver,0.788353,0.0242
COX8C,Liver,-0.963776,0.0264
COXFA4L3,Liver,0.729674,0.00172
CPEB2-DT,Liver,0.626,0.00171
CPEB3,Liver,-2.441724,4.08e-07
CPLANE2,Liver,-1.784417,0.000516
CPLX3,Liver,-1.873707,0.00128
CPNE8,Liver,1.090734,0.00427
CPQ,Liver,1.168622,9.04e-05
CPS1,Liver,3.609535,2.08e-06
CPSF7,Liver,0.643463,0.00133
CPT1C,Liver,-3.898382,8.87e-09
CRACD,Liver,-0.942,3.78e-06
CRACDL,Liver,-3.971018,9.8e-06
CRADD,Liver,1.432578,1.7e-06
CRB1,Liver,0.907,0.000531
CRB2,Liver,1.14891,5.85e-06
CREBBP,Liver,1.713873,8.83e-09
CREG2,Liver,-2.99465,4.59e-09
CRHBP,Liver,1.683332,8.89e-08
CRHR2,Liver,1.250333,1.99e-06
CRMP1,Liver,-1.310292,8.51e-05
CRNN,Liver,-1.108102,0.00571
CRPPA,Liver,2.942257,1.11e-13
CRSP8P,Liver,-2.102251,4.98e-09
CRYAA,Liver,-1.1098404,0.000196
CRYBA4,Liver,-2.532853,1.53e-06
CRYBG1,Liver,1.561454,1.75e-08
CRYL1,Liver,2.274088,4.19e-07
CRYM,Liver,-1.536674,2.37e-08
CSAG3,Liver,-3.560878,3.03e-08
CSDC2,Liver,1.419075,0.0056
CSH2,Liver,0.699758,0.000366
CSHL1,Liver,1.09962,1.99e-05
CSK,Liver,-0.6783824,1.96e-05
CSN1S1,Liver,0.747298,3.04e-05
CSN3,Liver,-2.786247,3.18e-05
CSNK1G1,Liver,2.358482,2.45e-06
CSNK2A3,Liver,1.302398,0.0012
CSNK2B,Liver,2.217715,0.000526
