gene,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs
ENG,-0.77605075,5.47e-11,1.51,1.76e-05,1.26,5.75e-15,-1.5028835,7.45e-17
EPB41L3,-0.5934775,0.00317,-0.6740171,0.00782,0.774,2.12e-09,-0.6685288,0.00464
EPHA3,-1.13130232,6.3e-25,-1.7243304,0.00203,3.62,2.09e-26,-1.31473586,1.7300000000000003e-27
EPHX1,-1.5275371,1.07e-05,-0.6784349,0.0105,2.215964,3.56e-05,1.2349791,2.25e-14
ERC1,0.6902224,0.00788,-1.0607525,0.000703,1.283512,2.61e-07,-0.8306868,2.59e-10
ERO1B,-0.9044481,0.0212,-1.1794632,9.16e-07,-0.802,1.76e-06,-0.9176636,4.43e-15
ESR2,-1.0694063,0.0017,-1.5594776,0.00124,-3.611442,1.48e-06,1.334095,9.31e-08
ETV1,-0.6232867,3.72e-05,-1.1985644,0.00174,-1.595265,5.32e-05,0.63373,0.00103
EWSR1,-0.7178341,2.01e-05,1.4426899,0.000753,2.528449,7.38e-06,-1.5769755,1.3800000000000001e-22
F13A1,-0.75520201,2.76e-12,1.29036425,0.00659,1.45,2.59e-07,-1.1844791,1.55e-06
FABP4,-1.6617342,1.04e-11,1.1770375,0.00812,2.48,1.03e-12,3.2476127,1.11e-07
FAM167B,-0.59994405,8.99e-05,1.51,0.0125,0.696619,0.00331,1.2400618,1.12e-10
FASN,1.2587847,0.027,1.7055599,5.05e-05,-0.974,0.000146,1.61349847,1.8599999999999997e-30
FAXDC2,-0.8897942,9.48e-06,-0.7075903,0.0151,-0.867,1.21e-14,2.14937,8.67e-18
FBN1,-0.73902208,8.59e-09,0.98766503,9.93e-06,1.52,7.85e-12,-2.3309555,3.66e-14
FCER1G,-0.81640598,1.04e-11,1.55608599,1.09e-07,2.306204,1.55e-09,1.3679036,1.15e-10
FCGR2A,-1.21298586,3.17e-22,1.4141238,0.00679433,1.33,1.16e-11,0.9807814,7.86e-08
FCMR,-1.10087563,2.33e-09,-0.9594492,0.000381,0.729,3.31e-05,1.0009884,9.5e-06
FCRL3,-2.28212417,1.9e-13,-1.764746,0.0017,-0.786587,0.00271,1.4685389,0.000193
FGF10,-0.76485796,3.29e-07,-1.2935121,0.00675,-0.713038,0.00242,-0.7133455,0.000697
FGF14,-0.69128514,3.28e-09,-1.1344432,0.0089,-2.281995,1.27e-07,-1.51832835,8.77e-27
FGF7,-0.73457257,6.32e-13,-1.9377163,4.44e-09,-1.490063,1.73e-05,-2.4301355,4.52e-13
FGFBP2,1.415623,1.76e-14,-0.8801838,0.026,-1.171262,0.00549,1.376365,7.34e-09
FGR,-0.65685187,5.11e-15,0.84842273,0.00121,-0.852,2.34e-09,0.91302931,2.67e-26
