gene,organ,instrument_source,n_instruments,IVW_beta,IVW_p,IVW_p_adj,Egger_p,Cochran_Q_p,F_statistic,verdict
LTBP2,Lung,eQTLGen,1,-0.0695845009690028,0.816835377661842,0.9829713866778098,,,275.53676049,Not Significant (IVW p>=0.05)
LTBP2,Skin,eQTLGen,1,-0.132491649916358,0.804337625352551,0.9802739815331081,,,275.53676049,Not Significant (IVW p>=0.05)
LUM,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
LUM,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
LUM,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
LUM,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MATN3,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MATN3,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MATN3,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MATN3,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MDK,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MDK,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MDK,Lung,GTEx,1,-0.4043750905264592,0.0412613301956189,0.5157773983701662,,,39.602309010865255,Single instrument - Unable to assess pleiotropy
MDK,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MFAP4,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MFAP4,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MFAP4,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MFAP4,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MMP11,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MMP11,Liver,eQTLGen,1,-0.147507181437979,0.668146649823352,0.9637087074635701,,,196.77917284,Not Significant (IVW p>=0.05)
MMP11,Lung,eQTLGen,1,-0.207586477896951,0.668704088331191,0.9637087074635701,,,196.77917284,Not Significant (IVW p>=0.05)
MMP11,Skin,eQTLGen,1,-0.60656006206275,0.484059362783503,0.9177578274973505,,,196.77917284,Not Significant (IVW p>=0.05)
MMP12,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MMP12,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
