"gene","organ","n_instruments","IVW_beta","IVW_p","Egger_beta","Egger_p","WeightedMedian_beta","WeightedMedian_p","Egger_intercept_p","Cochran_Q_p","F_statistic","verdict"
"CXCL9","Lung",1,-0.109932896415036,0.826579728238666,NA,NA,NA,NA,NA,NA,198.88050625,"Not Significant (IVW p>=0.05)"
"CXCL9","Skin",1,-0.534305504004402,0.550186188805007,NA,NA,NA,NA,NA,NA,198.88050625,"Not Significant (IVW p>=0.05)"
"DCN","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"DCN","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"DCN","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"DCN","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"EFEMP1","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"EFEMP1","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"EFEMP1","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"EFEMP1","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"F13A1","Liver",1,0.0992307988349828,0.314080577656283,NA,NA,NA,NA,NA,NA,1771.88799844,"Not Significant (IVW p>=0.05)"
"F13A1","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"F13A1","Lung",1,0.0880616622875578,0.528289559680248,NA,NA,NA,NA,NA,NA,1771.88799844,"Not Significant (IVW p>=0.05)"
"F13A1","Skin",1,-0.155592377024645,0.53274899899028,NA,NA,NA,NA,NA,NA,1771.88799844,"Not Significant (IVW p>=0.05)"
"FBN1","Liver",1,-0.111602163296747,0.540144485896421,NA,NA,NA,NA,NA,NA,543.10438116,"Not Significant (IVW p>=0.05)"
"FBN1","Kidney",1,-0.0189424614023849,0.895317338291782,NA,NA,NA,NA,NA,NA,543.10438116,"Not Significant (IVW p>=0.05)"
"FBN1","Lung",1,-0.134858959708139,0.601556849958094,NA,NA,NA,NA,NA,NA,543.10438116,"Not Significant (IVW p>=0.05)"
"FBN1","Skin",1,0.0454335694434659,0.921392872598044,NA,NA,NA,NA,NA,NA,543.10438116,"Not Significant (IVW p>=0.05)"
