gene,matrisome_division,matrisome_category,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs,ensembl_id,eqtl_dataset_id
SVEP1,Core matrisome,ECM Glycoproteins,-1.4205033,0.000299,-1.653771,0.00079,0.867,8.75e-10,-1.5330298,1.68e-07,ENSG00000165124,eqtl-a-ENSG00000165124
TGFB2,Matrisome-associated,Secreted Factors,-0.9545215,8.59e-06,-1.2042768,0.00142,-2.744284,2.07e-08,-0.65730721,6.76e-12,ENSG00000092969,eqtl-a-ENSG00000092969
TGFB3,Matrisome-associated,Secreted Factors,-1.04914499,1.4000000000000002e-21,-1.5824395,0.00102,-0.859,1.98e-06,-1.01667604,3.72e-21,ENSG00000119699,eqtl-a-ENSG00000119699
TGM2,Matrisome-associated,ECM Regulators,-2.41498901,2.2e-25,-1.438884,0.000114,1.434334,1.16e-05,1.3318364,7.98e-13,ENSG00000198959,eqtl-a-ENSG00000198959
THBS1,Core matrisome,ECM Glycoproteins,-2.45515344,9.01e-30,0.8024248,0.00287,1.9,5.93e-10,1.16263442,7.21e-13,ENSG00000137801,eqtl-a-ENSG00000137801
TIMP1,Matrisome-associated,ECM Regulators,-1.01400282,4.27e-15,0.94847442,5.67e-05,-1.95,1.84e-10,-0.780185,0.0418,ENSG00000102265,eqtl-a-ENSG00000102265
TIMP4,Matrisome-associated,ECM Regulators,-1.29454714,1.53e-09,1.4164741,0.00156,-3.319472,2.27e-05,0.92155603,1.32e-19,ENSG00000157150,eqtl-a-ENSG00000157150
TNC,Core matrisome,ECM Glycoproteins,-1.65298949,3.7799999999999994e-23,3.1558412,0.00017156,1.090925,8.25e-05,-1.40301982,3.61e-16,ENSG00000041982,eqtl-a-ENSG00000041982
TNFAIP6,Core matrisome,ECM Glycoproteins,-1.1473936,3.51e-07,-1.9017365,0.00102,0.871812,6.05e-05,-0.9965125,0.0352,ENSG00000123610,eqtl-a-ENSG00000123610
VCAN,Core matrisome,Proteoglycans,-0.71024619,4.47e-09,1.948057,9.07e-06,2.1,9.29e-16,-2.1909255,1.03e-13,ENSG00000038427,eqtl-a-ENSG00000038427
VWF,Core matrisome,ECM Glycoproteins,-0.97442246,2.94e-25,0.6088809,0.000127,2.25,5.24e-17,0.80510831,2.46e-17,ENSG00000110799,eqtl-a-ENSG00000110799
WIF1,Matrisome-associated,Secreted Factors,2.39273755,3.3e-19,1.8327843,0.00215,0.58924,0.00525,1.3618409,0.000175,ENSG00000156076,eqtl-a-ENSG00000156076
WNT10B,Matrisome-associated,Secreted Factors,-0.6265998,0.0101,-0.950968,0.00312671,-2.785589,1.94e-08,1.559168,0.000293,ENSG00000169884,eqtl-a-ENSG00000169884
WNT2,Matrisome-associated,Secreted Factors,-1.39002268,8.57e-08,-1.4775357,0.00119,1.657302,4.65e-08,0.8935836,7.27e-05,ENSG00000105989,eqtl-a-ENSG00000105989
