ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1754198	0.9997	0.9052244	-0.119757	-5.075	-0.01588344	NA		
ILMN_1713189	0.9997	0.90522551	0.1197556	-5.075	0.01626567	154426299	KANSL2	KAT8 regulatory NSL complex subunit 2
ILMN_3246430	0.9997	0.90524354	-0.1197327	-5.075	-0.01523806	NA		
ILMN_1761833	0.9997	0.90525715	0.1197154	-5.075	0.02156072	187607385	SLC40A1	solute carrier family 40 member 1
ILMN_1656413	0.9997	0.90526865	0.1197008	-5.075	0.01928342	380692335	ZMPSTE24	zinc metallopeptidase STE24
ILMN_1688622	0.9997	0.90526972	-0.1196994	-5.075	-0.01956533	194328681	UBQLN1	ubiquilin 1
ILMN_1770493	0.9997	0.90527635	0.119691	-5.075	0.01504275	217272873	CFAP100	cilia and flagella associated protein 100
ILMN_1659852	0.9997	0.90530701	-0.1196521	-5.075	-0.01157658	148839375	PWWP2B	PWWP domain containing 2B
ILMN_1735439	0.9997	0.90535585	0.1195901	-5.075	0.01714011	261862240	FTHL17	ferritin heavy chain like 17
ILMN_1685357	0.9997	0.9053569	0.1195888	-5.075	0.01421236	383792163	RTN2	reticulon 2
ILMN_1693821	0.9997	0.90535841	0.1195868	-5.075	0.01593497	NA		
ILMN_1690601	0.9997	0.90536672	-0.1195763	-5.075	-0.01254753	NA		
ILMN_1687430	0.9997	0.90542228	0.1195057	-5.075	0.01294675	78000155	EIF2B4	eukaryotic translation initiation factor 2B subunit delta
ILMN_1656921	0.9997	0.90542412	-0.1195034	-5.075	-0.01837381	NA		
ILMN_1673215	0.9997	0.90543231	-0.119493	-5.075	-0.01297056	222352150	PCBP1	poly(rC) binding protein 1
ILMN_1671217	0.9997	0.9054367	-0.1194874	-5.075	-0.01139875	NA		
ILMN_1743055	0.9997	0.9054373	0.1194867	-5.075	0.015059	634743283	NAT1	N-acetyltransferase 1
ILMN_1716384	0.9997	0.9054636	0.1194533	-5.075	0.02494942	809279833	ATL2	atlastin GTPase 2
ILMN_1665289	0.9997	0.90549203	0.1194172	-5.075	0.01742792	285397307	OGFOD3	2-oxoglutarate and iron dependent oxygenase domain containing 3
ILMN_1869761	0.9997	0.90551096	0.1193931	-5.075	0.01750069	NA		
ILMN_1703622	0.9997	0.90551201	0.1193918	-5.075	0.01847475	44890060	PPIB	peptidylprolyl isomerase B
ILMN_1730256	0.9997	0.9055197	-0.119382	-5.075	-0.01450211	157951661	GNG13	G protein subunit gamma 13
ILMN_2080751	0.9997	0.90553199	0.1193664	-5.075	0.01582744	193083228	ADNP2	ADNP homeobox 2
ILMN_1774336	0.9997	0.90554692	0.1193475	-5.075	0.01429442	309747077	POLE2	DNA polymerase epsilon 2, accessory subunit
ILMN_2409720	0.9997	0.90556208	0.1193282	-5.075	0.01446517	358679340	SLA2	Src like adaptor 2
ILMN_1682864	0.9997	0.90558359	0.1193009	-5.075	0.02041367	38679885	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3
ILMN_1721580	0.9997	0.90562536	0.1192479	-5.075	0.03206869	55770859	TBX15	T-box 15
ILMN_2140799	0.9997	0.90566089	-0.1192028	-5.075	-0.0153545	116006948	FAM24B	family with sequence similarity 24 member B
ILMN_1808939	0.9997	0.90567273	0.1191877	-5.075	0.01543464	17158043	RPS6	ribosomal protein S6
ILMN_3277321	0.9997	0.9056763	-0.1191832	-5.075	-0.01378544	NA		
ILMN_1688672	0.9997	0.90567638	0.1191831	-5.075	0.01361194	NA		
ILMN_1721741	0.9997	0.90568325	-0.1191744	-5.075	-0.01788339	88759336	GPN2	GPN-loop GTPase 2
ILMN_1736577	0.9997	0.90568367	-0.1191738	-5.075	-0.01965114	67010012	ZNF688	zinc finger protein 688
ILMN_2329927	0.9997	0.90571754	-0.1191308	-5.075	-0.02342022	46592897	ABCG1	ATP binding cassette subfamily G member 1
ILMN_1682699	0.9997	0.90575569	-0.1190824	-5.075	-0.01898653	124494249	PBX2	PBX homeobox 2
ILMN_1668839	0.9997	0.90576017	0.1190767	-5.075	0.015798	297206871	ACOX1	acyl-CoA oxidase 1
ILMN_1705679	0.9997	0.90582715	0.1189917	-5.075	0.01564242	116014330	SAFB2	scaffold attachment factor B2
ILMN_1866216	0.9997	0.90588233	-0.1189216	-5.075	-0.03153567	27839163		
ILMN_1725414	0.9997	0.90589948	-0.1188998	-5.075	-0.02357764	190343022	ABCC6	ATP binding cassette subfamily C member 6
ILMN_1679685	0.9997	0.90593318	-0.118857	-5.075	-0.0172765	444909171	WDR38	WD repeat domain 38
ILMN_2310968	0.9997	0.90599035	0.1187845	-5.075	0.01398592	365733602	RUFY1	RUN and FYVE domain containing 1
ILMN_1691339	0.9997	0.90602683	0.1187381	-5.075	0.02076822	663071157	CLEC1A	C-type lectin domain family 1 member A
ILMN_1800871	0.9997	0.9060353	0.1187274	-5.075	0.017416	38679893	RAB6A	RAB6A, member RAS oncogene family
ILMN_1896420	0.9997	0.90607159	-0.1186813	-5.075	-0.01481042	6198441		
ILMN_3249618	0.9997	0.90612195	0.1186174	-5.075	0.01908622	NA		
ILMN_2244009	0.9997	0.90612719	-0.1186107	-5.075	-0.01861539	149274623	LBH	limb bud and heart development
ILMN_1699389	0.9997	0.90614585	0.118587	-5.075	0.01652925	594140570	TP53TG3	TP53 target 3
ILMN_3240676	0.9997	0.90614923	-0.1185827	-5.075	-0.01677522	209954816	LINC00112	long intergenic non-protein coding RNA 112
ILMN_3190666	0.9997	0.90615359	0.1185772	-5.075	0.01304533	NA		
ILMN_1732674	0.9997	0.90615579	-0.1185744	-5.075	-0.013271	NA		
ILMN_2338038	0.9997	0.906173	0.1185526	-5.075	0.01686975	298566319	AK4	adenylate kinase 4
ILMN_1779423	0.9997	0.90617525	0.1185497	-5.075	0.01668553	312922349	MRPS14	mitochondrial ribosomal protein S14
ILMN_1767573	0.9997	0.90618126	-0.1185421	-5.075	-0.01541072	NA		
ILMN_3247173	0.9997	0.906189	-0.1185323	-5.075	-0.01358844	NA		
ILMN_3308986	0.9997	0.90620736	0.1185089	-5.075	0.01566569	269847376	MIR1272	microRNA 1272
ILMN_1660200	0.9997	0.90620927	0.1185065	-5.075	0.01700194	NA		
ILMN_1891880	0.9997	0.9062419	-0.1184651	-5.075	-0.02096142	11686829		
ILMN_1766565	0.9997	0.90625347	-0.1184504	-5.075	-0.01432744	123702037	KRTAP5-9	keratin associated protein 5-9
ILMN_1771447	0.9997	0.9062729	-0.1184257	-5.075	-0.01498944	NA		
ILMN_1691731	0.9997	0.90627298	0.1184256	-5.075	0.01717731	154813198	PARP14	poly(ADP-ribose) polymerase family member 14
