Gene ID	Gene Symbol	
7482	WNT2B	
213	ALB	
63897	HEATR6	
55233	MOB1A	
8395	PIP5K1B	
26191	PTPN22	
54504	CPVL	
22913	RALY	
6737	TRIM21	
3855	KRT7	
53343	NUDT9	
23039	XPO7	
5429	POLH	
11043	MID2	
54807	ZNF586	
23418	CRB1	
5053	PAH	
80306	MED28	
5394	EXOSC10	
25837	RAB26	
3216	HOXB6	
330	BIRC3	
140578	CHODL	
6648	SOD2	
9555	MACROH2A1	
328	APEX1	
9902	MRC2	
639	PRDM1	
6281	S100A10	
4052	LTBP1	
8714	ABCC3	
27158	NDOR1	
3713	IVL	
3684	ITGAM	
27301	APEX2	
409	ARRB2	
203068	TUBB	
891	CCNB1	
8082	SSPN	
9249	DHRS3	
3455	IFNAR2	
79442	LRRC2	
7464	CORO2A	
412	STS	
25976	TIPARP	
9477	MED20	
2122	MECOM	
1438	CSF2RA	
23171	GPD1L	
3207	HOXA11	
6508	SLC4A3	
8668	EIF3I	
79080	CCDC86	
2710	GK	
10818	FRS2	
2268	FGR	
2589	GALNT1	
9415	FADS2	
79652	TMEM204	
4661	MYT1	
51550	CINP	
29071	C1GALT1C1	
8390	OR1G1	
10252	SPRY1	
5152	PDE9A	
64748	PLPPR2	
968	CD68	
55700	MAP7D1	
3918	LAMC2	
9960	USP3	
8645	KCNK5	
57089	ENTPD7	
140803	TRPM6	
65108	MARCKSL1	
25797	QPCT	
4071	TM4SF1	
146909	KIF18B	
4240	MFGE8	
65997	RASL11B	
3716	JAK1	
2118	ETV4	
9399	STOML1	
64375	IKZF4	
11319	ECD	
189	AGXT	
5995	RGR	
23086	EXPH5	
9597	SMAD5-AS1	
11182	SLC2A6	
2533	FYB1	
84549	MAK16	
23594	ORC6	
2006	ELN	
23268	DNMBP	
64799	IQCH	
9022	CLIC3	
79712	QTMAN	
65986	ZBTB10	
1843	DUSP1	
11238	CA5B	
211	ALAS1	
440	ASNS	
3678	ITGA5	
9459	ARHGEF6	
8536	CAMK1	
23612	PHLDA3	
10149	ADGRG2	
2995	GYPC	
705	BYSL	
3908	LAMA2	
51614	ERGIC3	
89	ACTN3	
2669	GEM	
55651	NHP2	
4495	MT1G	
2990	GUSB	
85458	DIXDC1	
7294	TXK	
6894	TARBP1	
840	CASP7	
83759	RBM4B	
55872	PBK	
8897	MTMR3	
51278	IER5	
10576	CCT2	
5494	PPM1A	
51514	DTL	
54993	ZSCAN2	
4487	MSX1	
8635	RNASET2	
57823	SLAMF7	
27000	DNAJC2	
10813	UTP14A	
26273	FBXO3	
56981	PRDM11	
23682	RAB38	
23564	DDAH2	
58528	RRAGD	
9900	SV2A	
23	ABCF1	
7042	TGFB2	
2328	FMO3	
10406	WFDC2	
11267	SNF8	
64221	ROBO3	
51373	MRPS17	
56995	TULP4	
64806	IL25	
55507	GPRC5D	
785	CACNB4	
3242	HPD	
3035	HARS1	
6197	RPS6KA3	
10243	GPHN	
79960	JADE1	
717	C2	
6810	STX4	
6398	SECTM1	
63875	MRPL17	
10092	ARPC5	
6401	SELE	
80031	SEMA6D	
6227	RPS21	
55711	FAR2	
4057	LTF	
23387	SIK3	
10010	TANK	
84612	PARD6B	
159963	SLC5A12	
9365	KL	
5724	PTAFR	
4015	LOX	
4256	MGP	
79989	IFT56	
1264	CNN1	
1906	EDN1	
79815	NIPAL2	
2921	CXCL3	
60485	SAV1	
7533	YWHAH	
6440	SFTPC	
4010	LMX1B	
10263	CDK2AP2	
1326	MAP3K8	
5531	PPP4C	
483	ATP1B3	
203	AK1	
2687	GGT5	
54491	OTULINL	
29083	GTPBP8	
56344	CABP5	
7753	ZNF202	
10651	MTX2	
10652	YKT6	
55576	STAB2	
10360	NPM3	
7582	ZNF33B	
3090	HIC1	
2615	LRRC32	
25803	SPDEF	
8718	TNFRSF25	
4200	ME2	
8507	ENC1	
55972	SLC25A40	
6746	SSR2	
79582	SPAG16	
79415	CYBC1	
624	BDKRB2	
55312	RFK	
9288	TAAR3P	
64581	CLEC7A	
79772	MCTP1	
55692	LUC7L	
8607	RUVBL1	
9048	ARTN	
1768	DNAH6	
50848	F11R	
9628	RGS6	
5026	P2RX5	
55080	TAPBPL	
100507388	PARM1-AS1	
11215	AKAP11	
2532	ACKR1	
8622	PDE8B	
9966	TNFSF15	
57198	ATP8B2	
11122	PTPRT	
79053	ALG8	
79180	EFHD2	
5279	PIGC	
8687	KRT38	
9917	FAM20B	
56895	AGPAT4	
81029	WNT5B	
26045	LRRTM2	
1063	CENPF	
9843	HEPH	
8763	CD164	
859	CAV3	
63923	TNN	
54517	PUS7	
1871	E2F3	
79004	CUEDC2	
3910	LAMA4	
80328	ULBP2	
51715	RAB23	
1965	EIF2S1	
55187	VPS13D	
8743	TNFSF10	
389856	USP27X	
2317	FLNB	
10536	P3H3	
10471	PFDN6	
54908	SPDL1	
55227	LRRC1	
51285	RASL12	
3454	IFNAR1	
65990	ANTKMT	
51070	NOSIP	
9376	SLC22A8	
51293	CD320	
7003	TEAD1	
10960	LMAN2	
26175	LYSET	
57804	POLD4	
6299	SALL1	
6773	STAT2	
1024	CDK8	
6491	STIL	
64091	POPDC2	
5649	RELN	
26984	SEC22A	
6633	SNRPD2	
231	AKR1B1	
2023	ENO1	
2205	FCER1A	
5287	PIK3C2B	
5993	RFX5	
5514	PPP1R10	
1004	CDH6	
