ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
6372_at	1.06e-05	1.82e-07	7.007045	7.27033	2.76627305	C-X-C motif chemokine ligand 6
9266_at	1.07e-05	1.87e-07	6.9971473	7.2461	0.53647563	cytohesin 2
2982_at	1.07e-05	1.88e-07	6.9950077	7.24086	1.18220524	guanylate cyclase 1 soluble subunit alpha
1831_at	1.07e-05	1.88e-07	-6.9947147	7.24014	-1.13498712	TSC22 domain family member 3
2015_at	1.10e-05	1.93e-07	6.9831669	7.21185	0.73222373	adhesion G protein-coupled receptor E1
3759_at	1.13e-05	2.00e-07	6.969042	7.17723	1.025662	potassium voltage-gated channel subfamily J member 2
7837_at	1.16e-05	2.05e-07	6.9590958	7.15283	1.21319141	peroxidasin
5999_at	1.16e-05	2.07e-07	6.9545862	7.14177	1.39957888	regulator of G-protein signaling 4
1278_at	1.20e-05	2.14e-07	6.9421061	7.11113	2.65687138	collagen type I alpha 2 chain
64780_at	1.20e-05	2.16e-07	6.9388604	7.10316	1.00294785	microtubule associated monooxygenase, calponin and LIM domain containing 1
55003_at	1.21e-05	2.19e-07	6.933318	7.08955	0.7496072	PAK1 interacting protein 1
26136_at	1.22e-05	2.22e-07	6.9278615	7.07615	0.87999096	testin LIM domain protein
112464_at	1.22e-05	2.22e-07	6.9270501	7.07415	1.14812299	protein kinase C delta binding protein
894_at	1.23e-05	2.24e-07	6.9228718	7.06388	0.82460786	cyclin D2
65124_at	1.24e-05	2.29e-07	-6.9155005	7.04576	-1.21736854	sosondowah ankyrin repeat domain family member C
836_at	1.29e-05	2.38e-07	6.8995933	7.00664	0.5831229	caspase 3
10535_at	1.38e-05	2.55e-07	6.8717034	6.93797	0.44393922	ribonuclease H2 subunit A
79709_at	1.38e-05	2.57e-07	6.8693319	6.93213	0.38813525	collagen beta(1-O)galactosyltransferase 1
25816_at	1.41e-05	2.65e-07	6.8568365	6.90133	1.34144191	TNF alpha induced protein 8
1594_at	1.42e-05	2.68e-07	-6.8524131	6.89042	-2.39144833	cytochrome P450 family 27 subfamily B member 1
11082_at	1.44e-05	2.72e-07	-6.8468433	6.87668	-1.95063763	endothelial cell specific molecule 1
254102_at	1.45e-05	2.74e-07	6.8431209	6.8675	0.46105026	EH domain binding protein 1 like 1
7291_at	1.46e-05	2.77e-07	6.8384155	6.85589	0.95348599	twist family bHLH transcription factor 1
6347_at	1.47e-05	2.81e-07	6.8337912	6.84448	2.17500819	C-C motif chemokine ligand 2
22846_at	1.49e-05	2.86e-07	6.826122	6.82554	0.56053076	vasohibin 1
11322_at	1.53e-05	2.95e-07	6.8138688	6.79528	0.42828009	transmembrane channel like 6
80324_at	1.54e-05	2.98e-07	6.809524	6.78455	0.49912227	pseudouridylate synthase 1
8882_at	1.54e-05	2.99e-07	6.807916	6.78057	0.64706213	ZPR1 zinc finger
719_at	1.54e-05	3.02e-07	6.8044842	6.77209	1.31093116	complement component 3a receptor 1
116372_at	1.58e-05	3.10e-07	6.7943262	6.74698	1.48747956	LY6/PLAUR domain containing 1
56943_at	1.60e-05	3.16e-07	-6.7866889	6.72809	-0.43114099	ENY2, transcription and export complex 2 subunit
26032_at	1.68e-05	3.32e-07	6.7670533	6.67949	0.54021955	sushi domain containing 5
57333_at	1.68e-05	3.34e-07	6.7638253	6.6715	0.56441381	reticulocalbin 3
10184_at	1.68e-05	3.36e-07	6.7623682	6.66789	0.62656739	lipoma HMGIC fusion partner-like 2
1277_at	1.68e-05	3.37e-07	6.7608618	6.66416	1.75677827	collagen type I alpha 1
