ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
232746_at	5.09e-01	3.19e-01	1.0178515	-5.925979	0.28553611	ACKR3	atypical chemokine receptor 3
235963_at	5.09e-01	3.19e-01	1.0178203	-5.926009	0.48425946		
202286_s_at	5.09e-01	3.19e-01	1.0176773	-5.926151	0.29548501	TACSTD2	tumor-associated calcium signal transducer 2
226209_at	5.09e-01	3.19e-01	-1.0176576	-5.92617	-0.13859734	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3
238746_at	5.09e-01	3.19e-01	-1.0176458	-5.926182	-0.10800676	PXMP4	peroxisomal membrane protein 4
214467_at	5.09e-01	3.19e-01	1.0176242	-5.926204	0.31194119	GPR65	G protein-coupled receptor 65
1566598_at	5.09e-01	3.19e-01	1.0176147	-5.926213	0.09661038		
1555892_s_at	5.09e-01	3.19e-01	1.017595	-5.926232	0.33853833	PSMD5-AS1	PSMD5 antisense RNA 1 (head to head)
215243_s_at	5.09e-01	3.19e-01	-1.0175693	-5.926258	-0.21432911	GJB3	gap junction protein beta 3
230020_at	5.09e-01	3.19e-01	-1.0175262	-5.926301	-0.14049673	LSM8	LSM8 homolog, U6 small nuclear RNA associated
1559377_at	5.09e-01	3.19e-01	1.0174993	-5.926327	0.10586266		
236754_at	5.09e-01	3.19e-01	-1.0174964	-5.92633	-0.12595919	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2
226968_at	5.09e-01	3.19e-01	1.0174517	-5.926374	0.11568115	KIF1B	kinesin family member 1B
202815_s_at	5.09e-01	3.19e-01	1.0174192	-5.926406	0.11560367	HEXIM1	hexamethylene bisacetamide inducible 1
210753_s_at	5.09e-01	3.19e-01	1.0174031	-5.926422	0.1232603	EPHB1	EPH receptor B1
234621_at	5.09e-01	3.19e-01	1.0173669	-5.926458	0.08314824		
1553475_at	5.09e-01	3.19e-01	1.0172978	-5.926527	0.10016623		
218577_at	5.09e-01	3.19e-01	1.0172614	-5.926563	0.15555725	LRRC40	leucine rich repeat containing 40
200744_s_at	5.09e-01	3.19e-01	1.0172197	-5.926604	0.17929024	GNB1	G protein subunit beta 1
217956_s_at	5.09e-01	3.19e-01	-1.0172041	-5.926619	-0.14171372	ENOPH1	enolase-phosphatase 1
211752_s_at	5.09e-01	3.19e-01	-1.0171657	-5.926657	-0.20591087	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7
219361_s_at	5.09e-01	3.19e-01	1.0171383	-5.926684	0.14032954	AEN	apoptosis enhancing nuclease
240392_at	5.09e-01	3.19e-01	-1.017086	-5.926736	-0.20868297	LOC105371920	uncharacterized LOC105371920
