ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
65244_at	3.76e-02	1.32e-02	2.620337	-3.446414	0.3261244	65244_at
10560_at	3.76e-02	1.32e-02	-2.620275	-3.446549	-0.3133106	10560_at
63895_at	3.77e-02	1.32e-02	-2.619649	-3.447916	-0.4880553	63895_at
8698_at	3.77e-02	1.32e-02	2.619593	-3.448039	1.0166057	8698_at
696_at	3.77e-02	1.33e-02	-2.618802	-3.449764	-1.0687632	696_at
5347_at	3.77e-02	1.33e-02	2.618496	-3.450431	0.9193472	5347_at
10419_at	3.78e-02	1.33e-02	-2.618142	-3.451203	-0.2160255	10419_at
6124_at	3.78e-02	1.33e-02	-2.618064	-3.451374	-0.1251684	6124_at
56915_at	3.78e-02	1.33e-02	-2.617998	-3.451517	-0.2389405	56915_at
805_at	3.78e-02	1.33e-02	2.617922	-3.451683	0.1515092	805_at
55090_at	3.79e-02	1.34e-02	-2.616204	-3.45543	-0.2158421	55090_at
6483_at	3.81e-02	1.34e-02	-2.61462	-3.458882	-0.4452824	6483_at
11253_at	3.81e-02	1.34e-02	-2.614108	-3.459997	-0.2083635	11253_at
28232_at	3.81e-02	1.34e-02	2.613804	-3.460659	0.2437602	28232_at
8645_at	3.82e-02	1.35e-02	-2.612546	-3.4634	-0.7112231	8645_at
6039_at	3.83e-02	1.35e-02	2.611946	-3.464707	0.4398463	6039_at
54816_at	3.83e-02	1.35e-02	-2.611921	-3.464762	-0.2665846	54816_at
28825_at	3.83e-02	1.35e-02	2.611442	-3.465805	1.3329172	28825_at
100131755_at	3.84e-02	1.35e-02	-2.610562	-3.467722	-1.212798	100131755_at
100996485_at	3.84e-02	1.36e-02	-2.610082	-3.468765	-0.6279635	100996485_at
27190_at	3.84e-02	1.36e-02	-2.609621	-3.469769	-1.0679856	27190_at
5909_at	3.85e-02	1.36e-02	-2.608377	-3.472476	-0.4149878	5909_at
79753_at	3.87e-02	1.37e-02	2.606561	-3.476427	0.291124	79753_at
8525_at	3.87e-02	1.37e-02	2.606405	-3.476767	0.2047967	8525_at
5891_at	3.87e-02	1.37e-02	-2.606073	-3.477489	-0.2469334	5891_at
91353_at	3.87e-02	1.37e-02	2.605979	-3.477692	1.9981859	91353_at
22888_at	3.88e-02	1.37e-02	-2.605522	-3.478686	-0.2213958	22888_at
22827_at	3.88e-02	1.37e-02	-2.60459	-3.480713	-0.1441812	22827_at
9595_at	3.88e-02	1.37e-02	2.604476	-3.48096	0.4736606	9595_at
6845_at	3.89e-02	1.38e-02	2.603716	-3.482612	0.1149382	6845_at
1556_at	3.89e-02	1.38e-02	-2.603441	-3.48321	-1.0826787	1556_at
5245_at	3.90e-02	1.38e-02	-2.602488	-3.485281	-0.18304	5245_at
2639_at	3.90e-02	1.38e-02	-2.60191	-3.486536	-0.3233846	2639_at
79890_at	3.91e-02	1.38e-02	-2.601137	-3.488216	-0.2055556	79890_at
8856_at	3.92e-02	1.39e-02	-2.599716	-3.491302	-0.5654157	8856_at
79886_at	3.93e-02	1.39e-02	2.599068	-3.492709	0.1884312	79886_at
23741_at	3.93e-02	1.39e-02	-2.598939	-3.492989	-0.2254975	23741_at
7040_at	3.93e-02	1.39e-02	-2.598249	-3.494485	-0.4523135	7040_at
56936_at	3.94e-02	1.40e-02	-2.597939	-3.495159	-1.318972	56936_at
2741_at	3.94e-02	1.40e-02	-2.597314	-3.496514	-1.3130084	2741_at
25932_at	3.95e-02	1.40e-02	-2.59641	-3.498475	-0.7124356	25932_at
3991_at	3.95e-02	1.40e-02	-2.596296	-3.498724	-1.1662223	3991_at
55669_at	3.95e-02	1.40e-02	-2.596175	-3.498985	-0.211334	55669_at
1585_at	3.97e-02	1.41e-02	-2.594384	-3.502871	-0.7463953	1585_at
3855_at	3.97e-02	1.41e-02	-2.594165	-3.503345	-0.7478173	3855_at
23408_at	3.97e-02	1.41e-02	-2.593231	-3.50537	-0.2653498	23408_at
9679_at	3.98e-02	1.41e-02	2.592774	-3.506361	0.2325475	9679_at
3486_at	3.98e-02	1.41e-02	2.592648	-3.506634	0.6423032	3486_at
79574_at	3.98e-02	1.41e-02	-2.592154	-3.507704	-1.2563994	79574_at
10980_at	3.98e-02	1.42e-02	2.592069	-3.507887	0.1394575	10980_at
154881_at	3.99e-02	1.42e-02	-2.591406	-3.509326	-0.3551631	154881_at
83445_at	3.99e-02	1.42e-02	-2.591106	-3.509974	-1.0204281	83445_at
79637_at	3.99e-02	1.42e-02	-2.591007	-3.510189	-0.5428473	79637_at
8482_at	4.00e-02	1.42e-02	-2.58996	-3.512457	-1.4722485	8482_at
8322_at	4.00e-02	1.42e-02	2.58966	-3.513106	0.3708536	8322_at
2306_at	4.00e-02	1.43e-02	-2.589071	-3.514383	-0.6256357	2306_at
8543_at	4.01e-02	1.43e-02	2.588955	-3.514633	0.2661438	8543_at
