ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_23_P139455	2.78e-02	1.24e-02	-2.5731467	-3.5188426	-0.3988803	ZC3H10	zinc finger CCCH-type containing 10
A_24_P143127	2.78e-02	1.24e-02	2.5731336	-3.5188729	1.0688172	GRIA3	glutamate ionotropic receptor AMPA type subunit 3
A_24_P160263	2.78e-02	1.24e-02	2.573023	-3.5191302	0.7275879	MAGED2	MAGE family member D2
A_23_P11764	2.78e-02	1.24e-02	-2.5727473	-3.5197712	-0.5038575	AGO1	argonaute 1, RISC catalytic component
A_23_P345887	2.78e-02	1.24e-02	-2.5726965	-3.5198894	-0.5469303	GFPT1	glutamine--fructose-6-phosphate transaminase 1
A_24_P364087	2.78e-02	1.24e-02	-2.5726746	-3.5199403	-0.4697	SERGEF	secretion regulating guanine nucleotide exchange factor
A_23_P141770	2.78e-02	1.25e-02	-2.5721482	-3.5211642	-0.6387241	NAPG	NSF attachment protein gamma
A_32_P98752	2.78e-02	1.25e-02	2.5720256	-3.5214492	1.2589557		
A_24_P608931	2.78e-02	1.25e-02	-2.5719687	-3.5215814	-1.0255356		
A_23_P41732	2.78e-02	1.25e-02	-2.5718548	-3.5218462	-0.4633199	YTHDC2	YTH domain containing 2
A_24_P372932	2.79e-02	1.25e-02	2.5716515	-3.522319	1.0252037	PEX5	peroxisomal biogenesis factor 5
A_23_P110362	2.79e-02	1.25e-02	-2.5714122	-3.522875	-0.8207776	LAMTOR3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3
A_24_P3627	2.79e-02	1.25e-02	2.571289	-3.5231613	0.9224499		
A_23_P166526	2.79e-02	1.25e-02	-2.5712882	-3.5231634	-0.9939696	RIBC2	RIB43A domain with coiled-coils 2
A_32_P109704	2.79e-02	1.25e-02	2.5711743	-3.5234279	0.4487901	SFSWAP	splicing factor SWAP homolog
A_32_P209325	2.79e-02	1.25e-02	-2.5711491	-3.5234865	-0.6001702		
A_24_P199929	2.79e-02	1.25e-02	-2.5710415	-3.5237366	-0.5616509	VPS54	VPS54, GARP complex subunit
A_23_P133432	2.79e-02	1.25e-02	-2.5708364	-3.5242131	-0.7435912	SKP1	S-phase kinase-associated protein 1
A_23_P334308	2.79e-02	1.25e-02	-2.5708072	-3.5242811	-1.1183516	MTUS2	microtubule associated tumor suppressor candidate 2
A_23_P104804	2.79e-02	1.25e-02	2.5706755	-3.5245872	1.1866578	ZBTB16	zinc finger and BTB domain containing 16
A_24_P24230	2.79e-02	1.25e-02	2.5706477	-3.5246518	0.4835962		
A_23_P117198	2.79e-02	1.25e-02	-2.5705158	-3.5249583	-0.6023116	MRPL57	mitochondrial ribosomal protein L57
A_23_P300112	2.79e-02	1.25e-02	2.5700849	-3.5259594	1.0570761		
A_32_P187234	2.80e-02	1.25e-02	-2.5698831	-3.5264283	-1.474568		
A_24_P305960	2.80e-02	1.25e-02	-2.5698169	-3.5265821	-0.4593355	LEMD2	LEM domain containing 2
A_23_P200325	2.80e-02	1.25e-02	-2.5697626	-3.5267081	-0.5045231	RABGAP1L	RAB GTPase activating protein 1 like
A_23_P40515	2.80e-02	1.25e-02	-2.5696904	-3.5268758	-0.9832901	TSSK2	testis specific serine kinase 2
A_23_P16262	2.80e-02	1.25e-02	-2.5693342	-3.5277032	-0.6409882	MYBPC2	myosin binding protein C, fast type
A_23_P308673	2.80e-02	1.25e-02	2.5692957	-3.5277928	0.5033789	TAOK2	TAO kinase 2
A_32_P173662	2.80e-02	1.26e-02	-2.5691163	-3.5282095	-1.0916995	CRISP2	cysteine rich secretory protein 2
A_23_P110837	2.80e-02	1.26e-02	-2.5690749	-3.5283056	-1.0513179	IRX4	iroquois homeobox 4
A_24_P933173	2.80e-02	1.26e-02	2.5689134	-3.5286807	1.1147062		
A_24_P93664	2.80e-02	1.26e-02	-2.5687373	-3.5290896	-1.2486548	C1orf145	chromosome 1 open reading frame 145
A_32_P122529	2.80e-02	1.26e-02	-2.5687169	-3.529137	-0.6523336	SPDYE3	speedy/RINGO cell cycle regulator family member E3
A_23_P403955	2.80e-02	1.26e-02	2.5684794	-3.5296884	0.8075321	TARDBP	TAR DNA binding protein
A_23_P376372	2.80e-02	1.26e-02	-2.5684526	-3.5297507	-1.0159191	MARVELD3	MARVEL domain containing 3
A_24_P262738	2.81e-02	1.26e-02	2.568225	-3.5302792	0.5165338	DDA1	DET1 and DDB1 associated 1
A_32_P61729	2.81e-02	1.26e-02	-2.568127	-3.5305067	-0.6595534	RTN3	reticulon 3
A_24_P355649	2.81e-02	1.26e-02	-2.5680889	-3.5305952	-0.790845	FLI1	Fli-1 proto-oncogene, ETS transcription factor
A_23_P10497	2.81e-02	1.26e-02	-2.5680694	-3.5306406	-0.6192492	ATP9B	ATPase phospholipid transporting 9B (putative)
A_23_P201483	2.81e-02	1.26e-02	2.5674708	-3.5320303	0.7960209	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2
A_32_P146844	2.81e-02	1.26e-02	2.5673043	-3.5324167	1.1063884		
A_23_P123848	2.81e-02	1.26e-02	2.5671881	-3.5326865	0.753589	DAB2IP	DAB2 interacting protein
A_32_P6646	2.81e-02	1.26e-02	-2.5671858	-3.5326918	-0.5778156	ZNF366	zinc finger protein 366
A_24_P349580	2.81e-02	1.26e-02	2.5669571	-3.5332225	0.8133352		
A_23_P501538	2.82e-02	1.26e-02	-2.5667666	-3.5336649	-0.693837	HOXA3	homeobox A3
A_24_P315440	2.82e-02	1.26e-02	-2.5666457	-3.5339455	-0.5839482		
A_23_P129835	2.82e-02	1.26e-02	-2.5664446	-3.534412	-1.14619	PPP1R1B	protein phosphatase 1 regulatory inhibitor subunit 1B
