ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
222383_s_at	3.41e-06	6.11e-07	-5.57	5.291441	-2.62e-01	ALOXE3	arachidonate lipoxygenase 3
214146_s_at	3.41e-06	6.13e-07	-5.57	5.288331	-4.62e-01	PPBP	pro-platelet basic protein
216757_at	3.41e-06	6.13e-07	-5.57	5.288173	-3.66e-01		
203695_s_at	3.42e-06	6.13e-07	5.57	5.287511	6.67e-01	DFNA5	DFNA5, deafness associated tumor suppressor
203924_at	3.42e-06	6.14e-07	5.57	5.286432	2.13	GSTA1	glutathione S-transferase alpha 1
212254_s_at	3.43e-06	6.16e-07	5.56	5.283103	5.23e-01	DST	dystonin
204947_at	3.43e-06	6.17e-07	-5.56	5.281583	-4.37e-01	E2F1	E2F transcription factor 1
217767_at	3.44e-06	6.18e-07	-5.56	5.27974	-3.16e-01	C3	complement component 3
222156_x_at	3.44e-06	6.19e-07	-5.56	5.278636	-7.98e-01	DYX1C1-CCPG1///CCPG1	DYX1C1-CCPG1 readthrough (NMD candidate)///cell cycle progression 1
219546_at	3.44e-06	6.19e-07	-5.56	5.278281	-3.89e-01	BMP2K	BMP2 inducible kinase
212462_at	3.45e-06	6.20e-07	5.56	5.276726	7.04e-01	KAT6B	lysine acetyltransferase 6B
64474_g_at	3.45e-06	6.21e-07	-5.56	5.275032	-4.41e-01	MIR1306///DGCR8	microRNA 1306///DGCR8 microprocessor complex subunit
210331_at	3.46e-06	6.22e-07	-5.56	5.273208	-2.42e-01	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
32069_at	3.47e-06	6.25e-07	5.56	5.269459	5.84e-01	N4BP1	NEDD4 binding protein 1
213913_s_at	3.48e-06	6.26e-07	-5.56	5.267651	-3.57e-01	TBC1D30	TBC1 domain family member 30
205274_at	3.48e-06	6.27e-07	-5.56	5.265644	-4.36e-01	GTPBP1	GTP binding protein 1
AFFX-HUMISGF3A/M97935_5_at	3.49e-06	6.30e-07	5.56	5.261974	7.46e-01	STAT1	signal transducer and activator of transcription 1
202039_at	3.51e-06	6.32e-07	-5.56	5.257751	-5.79e-01	MYO18A///TIAF1	myosin XVIIIA///TGFB1-induced anti-apoptotic factor 1
212680_x_at	3.52e-06	6.34e-07	-5.56	5.254857	-4.43e-01	PPP1R14B	protein phosphatase 1 regulatory inhibitor subunit 14B
214632_at	3.53e-06	6.37e-07	5.56	5.250276	2.75e-01	NRP2	neuropilin 2
206129_s_at	3.54e-06	6.39e-07	-5.56	5.248156	-2.47e-01	ARSB	arylsulfatase B
213907_at	3.54e-06	6.39e-07	-5.55	5.246959	-2.65e-01	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1
217031_at	3.55e-06	6.40e-07	-5.55	5.245094	-1.95e-01	KRT84	keratin 84
201124_at	3.55e-06	6.41e-07	5.55	5.244205	6.74e-01	ITGB5	integrin subunit beta 5
218224_at	3.56e-06	6.42e-07	5.55	5.242714	7.44e-01	PNMA1	paraneoplastic Ma antigen 1
200933_x_at	3.56e-06	6.43e-07	5.55	5.241794	3.12e-01	RPS4X	ribosomal protein S4, X-linked
216620_s_at	3.58e-06	6.47e-07	5.55	5.235684	4.75e-01	ARHGEF10	Rho guanine nucleotide exchange factor 10
201591_s_at	3.61e-06	6.53e-07	5.55	5.226226	4.12e-01	NISCH	nischarin
215016_x_at	3.62e-06	6.54e-07	5.55	5.225349	5.31e-01	DST	dystonin
204370_at	3.63e-06	6.56e-07	-5.55	5.221274	-4.50e-01	CLP1	cleavage and polyadenylation factor I subunit 1
213316_at	3.65e-06	6.59e-07	5.55	5.216493	3.77e-01	KIAA1462	KIAA1462
202617_s_at	3.65e-06	6.60e-07	5.55	5.215747	3.65e-01	MECP2	methyl-CpG binding protein 2
203383_s_at	3.65e-06	6.60e-07	-5.55	5.215562	-4.11e-01	GOLGA1	golgin A1
220427_at	3.66e-06	6.62e-07	-5.55	5.213329	-4.65e-01	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
216416_at	3.66e-06	6.62e-07	-5.55	5.212222	-3.56e-01		
208533_at	3.66e-06	6.63e-07	-5.55	5.211837	-3.99e-01	SOX1	SRY-box 1
209304_x_at	3.68e-06	6.66e-07	5.54	5.207111	8.03e-01	GADD45B	growth arrest and DNA damage inducible beta
218930_s_at	3.69e-06	6.68e-07	-5.54	5.204157	-8.05e-01	TMEM106B	transmembrane protein 106B
216738_at	3.72e-06	6.74e-07	-5.54	5.194554	-3.57e-01		
213321_at	3.74e-06	6.78e-07	-5.54	5.188645	-5.19e-01	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta
202215_s_at	3.77e-06	6.82e-07	-5.54	5.182905	-3.92e-01	NFYC	nuclear transcription factor Y subunit gamma
213375_s_at	3.78e-06	6.85e-07	5.54	5.179387	7.58e-01	N4BP2L1	NEDD4 binding protein 2 like 1
211117_x_at	3.78e-06	6.85e-07	-5.54	5.179014	-2.67e-01	ESR2	estrogen receptor 2
202292_x_at	3.78e-06	6.86e-07	-5.54	5.177954	-4.95e-01	LYPLA2	lysophospholipase II
205196_s_at	3.78e-06	6.87e-07	-5.54	5.176927	-4.10e-01	AP1S1	adaptor related protein complex 1 sigma 1 subunit
203402_at	3.80e-06	6.89e-07	5.53	5.172912	4.86e-01	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2
206625_at	3.84e-06	6.96e-07	-5.53	5.16333	-2.93e-01	PRPH2	peripherin 2
209509_s_at	3.84e-06	6.97e-07	-5.53	5.162239	-8.11e-01	DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
202476_s_at	3.85e-06	6.98e-07	-5.53	5.160479	-3.24e-01	TUBGCP2	tubulin gamma complex associated protein 2
218528_s_at	3.86e-06	7.01e-07	5.53	5.157084	4.88e-01	RNF38	ring finger protein 38
219967_at	3.86e-06	7.01e-07	-5.53	5.156801	-4.10e-01	MRM1	mitochondrial rRNA methyltransferase 1
206158_s_at	3.87e-06	7.03e-07	-5.53	5.153312	-4.54e-01	CNBP	CCHC-type zinc finger nucleic acid binding protein
202609_at	3.89e-06	7.06e-07	5.53	5.148964	6.47e-01	EPS8	epidermal growth factor receptor pathway substrate 8
208810_at	3.90e-06	7.09e-07	5.53	5.145647	6.48e-01	TMEM135///DNAJB6	transmembrane protein 135///DnaJ heat shock protein family (Hsp40) member B6
205431_s_at	3.90e-06	7.10e-07	5.53	5.144448	5.16e-01	BMP5	bone morphogenetic protein 5
204787_at	3.90e-06	7.10e-07	5.53	5.144366	1.04	VSIG4	V-set and immunoglobulin domain containing 4
210515_at	3.90e-06	7.10e-07	-5.53	5.144265	-5.30e-01	HNF1A	HNF1 homeobox A
221318_at	3.91e-06	7.12e-07	-5.53	5.141287	-3.24e-01	NEUROD4	neuronal differentiation 4
205961_s_at	3.91e-06	7.12e-07	5.53	5.141152	6.76e-01	PSIP1	PC4 and SFRS1 interacting protein 1
214391_x_at	3.92e-06	7.13e-07	-5.53	5.139675	-6.39e-01	PTGER1	prostaglandin E receptor 1
217150_s_at	3.93e-06	7.15e-07	-5.53	5.137323	-5.40e-01	NF2	neurofibromin 2
219833_s_at	3.93e-06	7.15e-07	5.53	5.136747	6.72e-01	EFHC1	EF-hand domain containing 1
202588_at	3.94e-06	7.18e-07	-5.52	5.133491	-3.44e-01	AK1	adenylate kinase 1
218702_at	3.97e-06	7.23e-07	-5.52	5.1256	-4.12e-01	SARS2	seryl-tRNA synthetase 2, mitochondrial
220815_at	3.97e-06	7.23e-07	-5.52	5.125566	-3.92e-01	CTNNA3	catenin alpha 3
211592_s_at	3.97e-06	7.24e-07	5.52	5.125111	1.98e-01	CACNA1C	calcium voltage-gated channel subunit alpha1 C
212842_x_at	3.97e-06	7.24e-07	5.52	5.12464	4.54e-01	RGPD6///RGPD8///RGPD3///RGPD4///RGPD5	RANBP2-like and GRIP domain containing 6///RANBP2-like and GRIP domain containing 8///RANBP2-like and GRIP domain containing 3///RANBP2-like and GRIP domain containing 4///RANBP2-like and GRIP domain containing 5
211203_s_at	3.97e-06	7.25e-07	-5.52	5.123919	-3.35e-01	CNTN1	contactin 1
218943_s_at	4.01e-06	7.31e-07	5.52	5.115327	8.97e-01	DDX58	DEXD/H-box helicase 58
200999_s_at	4.01e-06	7.32e-07	-5.52	5.114138	-6.57e-01	CKAP4	cytoskeleton associated protein 4
212205_at	4.01e-06	7.32e-07	-5.52	5.113502	-5.11e-01	H2AFV	H2A histone family member V
202654_x_at	4.01e-06	7.33e-07	5.52	5.112722	6.50e-01	MARCH7	membrane associated ring-CH-type finger 7
205565_s_at	4.02e-06	7.34e-07	-5.52	5.110911	-6.47e-01	FXN	frataxin
205038_at	4.03e-06	7.36e-07	5.52	5.108502	3.35e-01	IKZF1	IKAROS family zinc finger 1
204000_at	4.04e-06	7.38e-07	5.52	5.106507	7.12e-01	GNB5	G protein subunit beta 5
211647_x_at	4.06e-06	7.41e-07	5.52	5.101544	3.86e-01	IGHM///IGHG1	immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)
202965_s_at	4.07e-06	7.45e-07	5.51	5.097105	6.55e-01	CAPN6	calpain 6
214442_s_at	4.09e-06	7.47e-07	-5.51	5.093529	-4.00e-01	PIAS2	protein inhibitor of activated STAT 2
205913_at	4.10e-06	7.50e-07	-5.51	5.090504	-6.41e-01	PLIN1	perilipin 1
221780_s_at	4.12e-06	7.54e-07	5.51	5.085548	3.38e-01	DDX27	DEAD-box helicase 27
214283_at	4.13e-06	7.55e-07	-5.51	5.083221	-5.21e-01	TMEM97	transmembrane protein 97
208179_x_at	4.13e-06	7.56e-07	-5.51	5.082217	-4.35e-01	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
204213_at	4.14e-06	7.57e-07	-5.51	5.080578	-4.10e-01	PIGR	polymeric immunoglobulin receptor
220014_at	4.14e-06	7.58e-07	5.51	5.07957	6.74e-01	PRR16	proline rich 16
214410_at	4.14e-06	7.58e-07	-5.51	5.079224	-2.22e-01	TRPM1	transient receptor potential cation channel subfamily M member 1
207964_x_at	4.15e-06	7.60e-07	-5.51	5.076755	-2.66e-01	IFNA4	interferon alpha 4
202678_at	4.16e-06	7.63e-07	5.51	5.073854	5.16e-01	GTF2A2	general transcription factor IIA subunit 2
202160_at	4.17e-06	7.65e-07	5.51	5.070606	5.45e-01	CREBBP	CREB binding protein
202460_s_at	4.18e-06	7.66e-07	5.51	5.069113	4.63e-01	LPIN2	lipin 2
214909_s_at	4.18e-06	7.67e-07	5.51	5.068844	4.61e-01	DDAH2	dimethylarginine dimethylaminohydrolase 2
200007_at	4.20e-06	7.71e-07	5.51	5.06268	4.02e-01	SRP14	signal recognition particle 14
220048_at	4.23e-06	7.76e-07	-5.50	5.056312	-3.07e-01	EDAR	ectodysplasin A receptor
205246_at	4.23e-06	7.77e-07	-5.50	5.055841	-4.84e-01	PEX13	peroxisomal biogenesis factor 13
207973_x_at	4.23e-06	7.77e-07	-5.50	5.055211	-2.79e-01	ACRV1	acrosomal vesicle protein 1
202193_at	4.24e-06	7.78e-07	-5.50	5.053945	-7.84e-01	LIMK2	LIM domain kinase 2
201666_at	4.24e-06	7.80e-07	5.50	5.052296	8.29e-01	TIMP1	TIMP metallopeptidase inhibitor 1
